content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes,webrtc-1_pts_ms,webrtc-1_arrival_us,webrtc-1_bytes
1178ad52e6fe4914,102470,87560644,131237,102432,87571252,131237,102417,87571318,131237
11a145e94236d295,64141,49243888,155268,64096,49255529,155268,64081,49255938,155268
11ad124833575d82,18534,3618992,130621,18476,3632083,130621,18462,3629451,130621
11b490c3abd16986,98090,83142265,131397,98091,83151981,131397,98077,83152287,131397
11c036fdd5823de8,87875,72953080,138080,87888,72963726,138080,87854,72964087,138080
11e58a7b515b4346,107901,93001650,138266,107857,93012026,138266,107842,93016601,138266
12040e82001e16ce,98816,83901643,138974,98787,83914520,138974,98768,83911773,138974
12244912d8f69b22,68328,53421158,138770,68297,53431998,138770,68278,53432162,138770
123ef87fa9c1d3f1,24290,9400667,138912,24252,9411339,138912,24238,9414654,138912
12441568933b31ff,48888,33980668,138072,48839,33991930,138072,48824,33992171,138072
124ff66242f2eb7b,31833,16991136,401970,31861,17026023,402010,31846,17025537,402010
1255cfa7af72e497,102690,87744735,122338,102737,87863026,122338,102708,87755383,122338
1258d93e81ec9f5a,71161,56286234,338233,71151,56313172,338273,71145,56333595,338273
125a051cb67929ee,45961,31041757,131192,45926,31051303,131192,45910,31051603,131192
1274b0cbd2d24026,69146,54224498,138216,69109,54235321,138216,69097,54235625,138216
12dac234aaa074ba,45040,30121307,130886,44984,30131197,130886,44962,30131489,130886
12e9350d9a4b0db7,30076,15163893,137338,30028,15174081,137338,30003,15174468,137338
12f0d77ccff567dd,87496,72627493,340541,,,,87477,72660955,340581
1302dde84a49b503,39929,24979498,132017,39960,24992762,132017,39926,24989383,132017
13072f5a9351771f,100955,85981570,139163,100976,85994467,139163,100961,85994313,139163
13109308107cb965,46564,31621156,130172,46576,31633470,130172,46558,31631438,130172
136d4a3f5d9c79dc,78640,63744428,138199,78610,63755478,138199,78589,63755441,138199
13787e7d0a6ad555,51862,36944789,139552,51828,36955437,139552,51815,36955821,139552
1389261b8f0dd565,78831,63921411,137706,78799,63936236,137706,78787,63931514,137706
1395ee26d060980a,17288,2380509,139667,17245,2391384,139667,17230,2391621,139667
13a090619875fd9d,23120,8220445,138638,23076,8230997,138638,23060,8231357,138638
13c43fd1e3eeb092,64019,49103637,136956,63979,49114713,136956,63963,49115009,136956
13d72254acd02b59,38719,23809202,152147,38688,23820716,152147,38673,23821108,152147
13f8c31c897a2719,58965,44019647,131298,58970,44029335,131298,58956,44029727,131298
140675049250c187,25525,10632115,98532,,,,,,
1407581881cc048a,28447,13543356,155058,28419,13556197,155058,28399,13555673,155058
141e4fcc631c8ecb,81886,66941539,128731,81888,66951248,128731,81874,66951597,128731
143302cdd60a573a,99953,85012619,131515,99983,85022658,131515,99963,85022698,131515
144275c51d9517d6,18894,3982941,153233,18867,3999361,153233,18847,3994591,153233
1457b3f59e40d1fa,77223,62279443,127635,77228,62288770,127635,77213,62289036,127635
14646a8b3b4a16a3,103384,88473645,139704,103325,88483996,139704,103310,88484350,139704
147aafea3b863245,35219,20320381,137139,35175,20335713,137139,35170,20330624,137139
149f1b74ea6625ea,64891,49959424,128966,64883,49970126,128966,64868,49969291,128966
14dec0ff0eee6a43,44593,29639281,129471,44606,29649736,129471,44602,29649997,129471
14fcc5aad3d5539b,20912,6000270,137708,20875,6010392,137708,20863,6010796,137708
150c194d22e279ea,71867,56962213,132915,71826,56971821,132915,71802,56972376,132915
151a82be986e1d18,38533,23640775,138511,38492,23650986,138511,38481,23651396,138511
153b72d007934a76,69918,55004427,137964,69864,55016820,137964,69849,55014367,137964
1551ffd96140dfc5,29264,14343411,136339,29230,14353852,136339,29219,14354310,136339
155be32eb80e4dd9,59886,44964419,138241,59852,44977656,138241,59842,44974863,138241
155c7be1fe5a3766,30342,15423878,137323,30310,15437911,137323,30294,15434174,137323
156fe1b91f3edb62,61382,46464244,138051,61340,46474812,138051,61320,46475107,138051
157ce79d3e306b2d,79896,64959983,130947,79930,64996288,130947,79899,64970798,130947
15a94e61ef92cbb0,47079,32183905,136421,47045,32194752,136421,47030,32194485,136421
15c6760e478aedfc,42990,28019427,130212,42919,28029513,130212,42896,28029689,130212
15c963a935a30e14,25768,10821070,130095,25788,10831358,130095,25769,10831757,130095
15e82ea07f197a82,15012,100146,136961,14976,111041,136961,14964,113679,136961
15f27ea5a4c6af41,115282,100364982,138156,115231,100375693,138156,115216,100377885,138156
15f4a8af58d34f7c,81949,67004656,136563,81947,67014895,136563,81933,67015309,136563
15fd80caea9d7599,26160,11242753,139518,26111,11253150,139518,26094,11253547,139518
1602ad14422cc172,16940,2023822,156444,16908,2034861,156444,16893,2037948,156444
16037fa0cec9c262,79717,64824376,100272,,,,79712,64884351,100361
16085dad9af7ed62,17069,2160510,139938,17034,2171034,139938,17019,2171381,139938
160ba1bb187c8c68,17005,2083781,139677,16971,2096819,139677,16957,2094043,139677
160d45768ff58ba3,45404,30484111,138191,45372,30494185,138191,45354,30494570,138191
1628017dc9afde60,60013,45100832,138412,59977,45114476,138412,59966,45111144,138412
1628645f9214c6fe,49220,34303896,137126,49186,34315012,137126,49176,34315297,137126
16694011bc2fb2ed,40403,25500591,137934,40352,25510419,137934,40341,25512971,137934
167c5bcd2d15bb68,94297,79362551,131413,94284,79373141,131413,94269,79373293,131413
16949bccb0d52811,40144,25201413,130002,40139,25212325,130002,40110,25212247,130002
169a2d3d8888e059,95225,80321441,138494,95181,80335598,138494,95166,80331613,138494
16f777cae64031e7,66218,51328108,159281,66185,51340536,159281,66170,51341022,159281
16ffb3cd08605a02,39192,24300425,137220,39152,24311596,137220,39137,24311570,137220
170dfe6591cacc0d,39161,24260506,137537,39113,24271364,137537,39106,24271664,137537
171394fc5bd1afe9,41213,26320668,138375,41172,26331415,138375,41157,26331644,138375
172ad275c21c4f9e,84416,69521215,137911,84374,69531675,137911,84359,69531907,137911
175f823fc6477e8f,68522,53604892,138518,68483,53615587,138518,68465,53615900,138518
1766a17283b81b52,19980,4980954,129992,20000,4993536,129992,19986,4990905,129992
176a1228d3be3536,93794,78881323,138142,93765,78894284,138142,93745,78891598,138142
1772cb4ae3d3e9be,62915,47961407,130109,62925,47971284,130109,62910,47973748,130109
17a59b27f1f75099,104653,89711116,132253,104663,89722669,132253,104648,89721650,132253
17b8207ce98120f2,39686,24793473,99593,39727,24849755,99593,39692,24817597,99593
17bb10a5ba43773b,87143,72224674,138541,87110,72235056,138541,87095,72235365,138541
17e3d3f9a990d5e1,97086,82181467,138066,97050,82195087,138066,97034,82191368,138066
17fd8609d133e9e2,104261,89345541,138843,104232,89356344,138843,104217,89356625,138843
1835dad6acc9917e,63733,48820714,136407,63704,48831883,136407,63687,48837737,136407
1839b6efeefc8fcd,69370,54429709,131005,69375,54442520,131005,69360,54439421,131005
185665a25e15520b,18620,3720244,137532,18572,3730473,137532,18556,3730983,137532
187a32e15d5af217,35657,20740137,136032,35623,20750272,136032,35608,20750640,136032
1883f01f27ec03de,79863,64919499,128213,79899,64995304,128213,79868,64929271,128213
18873b5585326452,89358,74442819,132306,89318,74452591,132306,89306,74452964,132306
